date,count
2025-08-19,44
2025-08-21,49
2025-08-26,45
2025-08-28,31
2025-09-02,41
2025-09-04,40
2025-09-09,42
2025-09-11,37
2025-09-16,33
2025-09-18,35
2025-09-23,41
2025-09-26,37
2025-09-30,37
2025-10-02,29
2025-10-07,45
2025-10-14,28
2025-10-16,28
2025-10-21,36
2025-10-23,34
2025-10-28,25
2025-10-30,22
2025-11-04,27
2025-11-11,41
2025-11-13,19
2025-11-18,34
2025-11-20,16
